solver,step,time_s,work_units,initial_residual,final_residual,final_relative_residual,convergence_factor,sec_per_work_unit_from_campaign,estimated_pressure_time_s
MG3V,140,0.0012291173113147804,1.0,8683.5528103336692,1843.2147138044238,3.7231909909985076e-05,0.21226504336001126,0.0014682074581552514,0.0014682074581552514
MG3V,141,0.0012394254710370028,0.0,3970.6252703145146,3970.6252703145146,8.020800665748766e-05,1,0.0014682074581552514,0.0
MG3V,142,0.0012497336307592251,1.0,8261.9203753620386,1782.6872350983322,3.601402192535753e-05,0.21577153423246523,0.0014682074581552514,0.0014682074581552514
MG3V,143,0.0012600417904814474,0.0,3982.0405806452036,3982.0405806452036,8.0449278925808965e-05,1,0.0014682074581552514,0.0
MG3V,144,0.0012703499502036697,1.0,8262.2318569123745,1850.6631985437125,3.7392234564269352e-05,0.22399071226685618,0.0014682074581552514,0.0014682074581552514
MG3V,145,0.001280658109925892,0.0,3868.4392075017095,3868.4392075017095,7.8164269386661652e-05,1,0.0014682074581552514,0.0
MG3V,146,0.0012909662696481143,1.0,7936.6438647657633,1722.0628441274166,3.4798233138917779e-05,0.21697620221721267,0.0014682074581552514,0.0014682074581552514
MG3V,147,0.0013012744293703366,0.0,3775.2987525314093,3775.2987525314093,7.6291867655119022e-05,1,0.0014682074581552514,0.0
MG3V,148,0.001311582589092559,1.0,7811.1361596882343,1774.8244582545012,3.5868874364605414e-05,0.22721719631697468,0.0014682074581552514,0.0014682074581552514
MG3V,149,0.0013218907488147813,0.0,3691.2499488741159,3691.2499488741159,7.4602482527209339e-05,1,0.0014682074581552514,0.0
MG3V,150,0.0013321989085370036,1.0,7543.4838901907206,1619.3716535679996,3.273106767112878e-05,0.21467158638381573,0.0014682074581552514,0.0014682074581552514
MG3V,151,0.0013425070682592259,0.0,3572.1668701693416,3572.1668701693416,7.2204319418437963e-05,1,0.0014682074581552514,0.0
MG3V,152,0.0013528152279814482,1.0,7408.4829444661736,1730.3462371118367,3.4978254345592794e-05,0.23356282927050981,0.0014682074581552514,0.0014682074581552514
MG3V,153,0.0013631233877036705,0.0,3553.9775572493672,3553.9775572493672,7.1844970499974924e-05,1,0.0014682074581552514,0.0
MG3V,154,0.0013734315474258929,1.0,7206.8950752988458,1539.7020983695984,3.1127945911012084e-05,0.21364291866088422,0.0014682074581552514,0.0014682074581552514
MG3V,155,0.0013837397071481152,0.0,3400.5758459791541,3400.5758459791541,6.8751661171464332e-05,1,0.0014682074581552514,0.0
MG3V,156,0.0013940478668703375,1.0,7055.1385299265385,2032.1659841632008,4.1088661813948069e-05,0.2880405502376947,0.0014682074581552514,0.0014682074581552514
MG3V,157,0.0014043560265925598,0.0,3421.4000000059605,3421.4000000059605,6.9180274118865368e-05,1,0.0014682074581552514,0.0
MG3V,158,0.0014146641863147821,1.0,6876.6306793913245,2225.1131264465089,4.4994648711651016e-05,0.32357606947178114,0.0014682074581552514,0.0014682074581552514
MG3V,159,0.0014249723460370044,0.0,3639.097180004107,3639.097180004107,7.358997711605982e-05,1,0.0014682074581552514,0.0
MG3V,160,0.0014352805057592267,1.0,6706.933356128633,2895.1699358619389,5.8550382730603788e-05,0.43166821289738966,0.0014682074581552514,0.0014682074581552514
MG3V,161,0.0014455886654814491,0.0,4589.5295910390887,4589.5295910390887,9.2819345789498591e-05,1,0.0014682074581552514,0.0
MG3V,162,0.0014558968252036714,1.0,6547.3794007152319,3294.4868897478236,6.6632592314745518e-05,0.50317641427468462,0.0014682074581552514,0.0014682074581552514
MG3V,163,0.0014662049849258937,1.0,5348.8305249749019,2079.2866625250981,4.2056102893052902e-05,0.38873668792017946,0.0014682074581552514,0.0014682074581552514
MG3V,164,0.001476513144648116,0.0,3002.2322546094656,3002.2322546094656,6.0726469756231561e-05,1,0.0014682074581552514,0.0
MG3V,165,0.0014868213043703383,1.0,6557.807988718152,1195.5597354639322,2.418445269577203e-05,0.18231087850097713,0.0014682074581552514,0.0014682074581552514
MG3V,166,0.0014971294640925606,0.0,2694.8422821164131,2694.8422821164131,5.4514488915365475e-05,1,0.0014682074581552514,0.0
MG3V,167,0.001507437623814783,1.0,5814.6951310187578,1505.1689670644701,3.0450277699143803e-05,0.25885604200211243,0.0014682074581552514,0.0014682074581552514
MG3V,168,0.0015177457835370053,0.0,3188.1784622147679,3188.1784622147679,6.450058775534851e-05,1,0.0014682074581552514,0.0
MG3V,169,0.0015280539432592276,1.0,6345.2627568468451,1498.7613858551988,3.0323636616244456e-05,0.23620162683380808,0.0014682074581552514,0.0014682074581552514
MG3V,170,0.0015383621029814499,0.0,2742.9900287017226,2742.9900287017226,5.549910246109155e-05,1,0.0014682074581552514,0.0
MG3V,171,0.0015486702627036722,1.0,5683.709044277668,1542.5331694448832,3.121203485396776e-05,0.27139551962074809,0.0014682074581552514,0.0014682074581552514
MG3V,172,0.0015589784224258945,0.0,2796.7379529699683,2796.7379529699683,5.6591719299010905e-05,1,0.0014682074581552514,0.0
MG3V,173,0.0015692865821481169,1.0,5732.6360928863287,1880.0603099245095,3.8045096541419863e-05,0.32795737937342484,0.0014682074581552514,0.0014682074581552514
MG3V,174,0.0015795947418703392,0.0,3032.4508249041255,3032.4508249041255,6.1366817798785215e-05,1,0.0014682074581552514,0.0
MG3V,175,0.0015899029015925615,1.0,5363.8757098466158,2027.6591781627828,4.1035520580902105e-05,0.3780212830883744,0.0014682074581552514,0.0014682074581552514
MG3V,176,0.0016002110613147838,0.0,3305.0438514693533,3305.0438514693533,6.6889097257271345e-05,1,0.0014682074581552514,0.0
